TAG,LABEL,SECTION,PRIORITY,STRING,TABLE,FUNCTION,DEFAULT,FILE
,SCAN NOTES,SCAN MODEL,44,TRUE,FALSE,,,SIG
,SCAN MODEL,SCAN MODEL,46,FALSE,FALSE,,LORO,SIG
,AZIMUTH OFFSET,SCAN MODEL,48,FALSE,FALSE,,0.000 DEG,SIG
,ELEVATION OFFSET,SCAN MODEL,49,FALSE,FALSE,,0.000 DEG,SIG
,SCAN PERSPECTIVE,SCAN MODEL,51,FALSE,FALSE,,TARGET,SIG
,DEFAULT OFFSET,SCAN MODEL,53,FALSE,FALSE,,0.0000 DBM,SIG
,ANTENNA MODEL,ANTENNA MODEL,57,FALSE,FALSE,,REFERENCE,SIG
ModeName,MODEL NAME,ANTENNA MODEL,59,TRUE,FALSE,,A123Z ANT,SIG
,ENABLE MSS,MULTIPLE SIMULTANEOUS SIGNALS,63,FALSE,FALSE,,NO,SIG
